0, 0.010000, 0
1, 0.030000, 1
2, 0.050000, 1
3, 0.070000, 0
4, 0.090000, 4
5, 0.110000, 1
6, 0.130000, 3
7, 0.150000, 2
8, 0.170000, 311
9, 0.190000, 621
10, 0.210000, 815
11, 0.230000, 999
12, 0.250000, 1164
13, 0.270000, 1256
14, 0.290000, 1398
15, 0.310000, 1528
16, 0.330000, 1503
17, 0.350000, 1595
18, 0.370000, 1388
19, 0.390000, 1423
20, 0.410000, 1234
21, 0.430000, 1135
22, 0.450000, 954
23, 0.470000, 768
24, 0.490000, 619
25, 0.510000, 503
26, 0.530000, 416
27, 0.550000, 287
28, 0.570000, 211
29, 0.590000, 155
30, 0.610000, 114
31, 0.630000, 76
32, 0.650000, 55
33, 0.670000, 27
34, 0.690000, 11
35, 0.710000, 15
36, 0.730000, 5
37, 0.750000, 8
38, 0.770000, 5
39, 0.790000, 3
40, 0.810000, 1
41, 0.830000, 6
42, 0.850000, 1
43, 0.870000, 2
44, 0.890000, 0
45, 0.910000, 0
46, 0.930000, 0
47, 0.950000, 1
48, 0.970000, 3
49, 0.990000, 0
