0, 0.010000, 107
1, 0.030000, 127
2, 0.050000, 138
3, 0.070000, 108
4, 0.090000, 117
5, 0.110000, 119
6, 0.130000, 102
7, 0.150000, 123
8, 0.170000, 112
9, 0.190000, 111
10, 0.210000, 97
11, 0.230000, 32
12, 0.250000, 25
13, 0.270000, 14
14, 0.290000, 11
15, 0.310000, 7
16, 0.330000, 8
17, 0.350000, 7
18, 0.370000, 6
19, 0.390000, 10
20, 0.410000, 11
21, 0.430000, 8
22, 0.450000, 3
23, 0.470000, 8
24, 0.490000, 1
25, 0.510000, 4
26, 0.530000, 6
27, 0.550000, 2
28, 0.570000, 2
29, 0.590000, 2
30, 0.610000, 1
31, 0.630000, 3
32, 0.650000, 0
33, 0.670000, 1
34, 0.690000, 1
35, 0.710000, 1
36, 0.730000, 0
37, 0.750000, 1
38, 0.770000, 1
39, 0.790000, 0
40, 0.810000, 0
41, 0.830000, 0
42, 0.850000, 1
43, 0.870000, 0
44, 0.890000, 0
45, 0.910000, 0
46, 0.930000, 0
47, 0.950000, 0
48, 0.970000, 0
49, 0.990000, 0
